Original Title,                         Movie Id,                         Release Date,                         Budget,                         Runtime,                         Revenue
Spider-Man: Into the Spider-Verse,                             324857,                             2018-12-07,                             $90000000,                             117 min,                             $362823577
Avengers: Infinity War,                             299536,                             2018-04-25,                             $300000000,                             149 min,                             $2046239637
Logan,                             263115,                             2017-02-28,                             $97000000,                             137 min,                             $616801808
Blade Runner 2049,                             335984,                             2017-10-04,                             $150000000,                             163 min,                             $259239658
The Lego Movie,                             137106,                             2014-02-06,                             $60000000,                             100 min,                             $469160692
