Director Name, Director Id, Movie Id
Bob Persichetti,                       936670,                       [324857]
Peter Ramsey,                       151007,                       [324857]
Rodney Rothman,                       59918,                       [324857]
Joe Russo,                       19272,                       [299536]
Anthony Russo,                       19271,                       [299536]
James Mangold,                       366,                       [263115]
Denis Villeneuve,                       137427,                       [335984]
Phil Lord,                       107446,                       [137106]
Christopher Miller,                       155267,                       [137106]
