Actor Name, Actor Id, Movie Name
Jake Johnson, 543505, Spider-Man: Into the Spider-Verse & The Lego Movie
Stan Lee, 7624, Spider-Man: Into the Spider-Verse & Avengers: Infinity War
Jorma Taccone, 62863, Spider-Man: Into the Spider-Verse & The Lego Movie
Christopher Miller, 155267, Spider-Man: Into the Spider-Verse & The Lego Movie
Dave Bautista, 543530, Avengers: Infinity War & Blade Runner 2049
Chris Pratt, 73457, Avengers: Infinity War & The Lego Movie
Cobie Smulders, 71189, Avengers: Infinity War & The Lego Movie
